Client Order ID,Instrument,Side,Quantity,Price
943,Rose,1,690,40.91
944,Lavender,1,820,43.80
945,Lotus,2,130,44.66
946,Tulip,2,790,42.95
947,Orchid,2,210,10.79
948,Lavender,1,800,16.07
949,Lavender,1,180,31.98
950,Lotus,1,980,42.07
951,Lavender,1,780,48.47
952,Tulip,2,640,25.65
953,Orchid,1,100,34.50
954,Tulip,2,80,19.34
955,Lotus,2,130,14.81
956,Lotus,2,770,47.84
957,Orchid,1,10,26.48
958,Tulip,1,1000,47.58
959,Tulip,2,30,31.85
960,Lavender,1,590,17.45
961,Orchid,1,830,48.40
962,Lotus,2,510,27.74
963,Rose,1,670,43.62
964,Lavender,1,1000,48.08
965,Tulip,1,800,49.16
966,Tulip,2,130,14.81
967,Orchid,2,270,33.13
968,Tulip,2,310,10.21
969,Lavender,1,910,26.69
970,Orchid,1,550,37.33
971,Lotus,2,860,16.09
972,Orchid,2,250,40.02
973,Orchid,1,770,19.36
974,Rose,2,670,33.82
975,Rose,1,160,23.87
976,Rose,1,430,32.05
977,Rose,2,710,12.03
978,Lotus,1,540,42.40
979,Rose,1,80,34.09
980,Orchid,1,790,33.14
981,Lavender,1,40,15.74
982,Lavender,1,60,46.89
983,Orchid,1,680,46.43
984,Rose,2,640,23.32
985,Rose,1,900,16.64
986,Rose,2,830,35.30
987,Lavender,1,940,46.37
988,Orchid,1,950,22.24
989,Lavender,2,720,31.78
990,Tulip,1,430,38.04
991,Orchid,2,860,28.61
992,Tulip,2,130,31.03
993,Lavender,2,180,36.63
994,Tulip,1,570,24.35
995,Tulip,1,820,43.04
996,Orchid,1,140,34.70
997,Tulip,2,510,44.31
998,Orchid,1,630,10.45
999,Lotus,2,250,46.74
1000,Rose,1,100,19.96
